City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hithadhoo,MV,2023-03-14 15:44:44,-0.6,73.0833,82.08,76,60,7.81
68,Kletskaya,RU,2023-03-14 15:44:45,49.3145,43.0584,39.02,46,56,10.92
69,Butembo,CD,2023-03-14 15:44:45,0.15,29.2833,61.05,96,94,2.55
70,Bowen,AU,2023-03-14 15:44:45,-20.0167,148.2333,80.1,83,15,4.79
71,Sakaraha,MG,2023-03-14 15:44:46,-22.9,44.5333,70.29,86,100,5.39
72,Hamina,FI,2023-03-14 15:44:46,60.5697,27.1979,40.32,99,100,12.84
73,Pevek,RU,2023-03-14 15:44:46,69.7008,170.3133,-19.14,100,82,8.23
74,Kodinsk,RU,2023-03-14 15:44:47,58.6881,99.1844,-7.22,100,72,2.59
75,Bonavista,CA,2023-03-14 15:42:11,48.6499,-53.1147,29.77,83,55,10.22
76,Vikhorevka,RU,2023-03-14 15:44:47,56.1201,101.1636,17.19,99,100,2.98
77,Poya,NC,2023-03-14 15:44:48,-21.35,165.15,75.94,83,51,5.17
78,Codrington,AU,2023-03-14 15:44:48,-38.2667,141.9667,55.98,93,61,2.06
79,Killarney,IE,2023-03-14 15:44:48,52.05,-9.5167,44.65,87,75,6.91
80,Horasan,TR,2023-03-14 15:44:49,40.0458,42.1728,46.65,70,100,2.28
81,Saint George,US,2023-03-14 15:44:45,37.1041,-113.5841,46.99,71,0,4.61
82,Cherskiy,RU,2023-03-14 15:44:50,68.75,161.3,-6.84,92,99,6.82
83,Tukrah,LY,2023-03-14 15:44:51,32.5341,20.5791,59.32,61,0,6.69
84,Jamestown,US,2023-03-14 15:44:51,42.097,-79.2353,24.53,93,100,16.11
85,Buala,SB,2023-03-14 15:44:52,-8.145,159.5921,79.36,83,100,3.76
86,Baykit,RU,2023-03-14 15:44:52,61.67,96.37,2.68,99,99,2.8
87,Sao Filipe,CV,2023-03-14 15:44:53,14.8961,-24.4956,76.69,60,0,10.22
88,Sharlyk,RU,2023-03-14 15:44:53,52.9167,54.75,12.61,98,11,3.4
89,Tahoua,NE,2023-03-14 15:44:53,14.8888,5.2692,100.38,5,0,9.22
90,Manuk Mangkaw,PH,2023-03-14 15:44:54,4.8,119.85,80.94,77,86,12.24
91,Troitsko-Pechorsk,RU,2023-03-14 15:44:54,62.7084,56.1964,22.55,90,56,9.33
92,Manggar,ID,2023-03-14 15:44:54,-2.8833,108.2667,77.92,80,96,6.96
93,Kavieng,PG,2023-03-14 15:44:55,-2.5744,150.7967,80.33,78,67,2.13
94,Tahlequah,US,2023-03-14 15:44:55,35.9154,-94.97,43.09,42,0,8.05
95,Noumea,NC,2023-03-14 15:44:02,-22.2763,166.4572,73.38,80,9,8.5
96,Ancud,CL,2023-03-14 15:44:55,-41.8697,-73.8203,54.9,93,100,18.19
97,Qaanaaq,GL,2023-03-14 15:44:56,77.484,-69.3632,7.48,71,100,4.76
98,Tripoli,LY,2023-03-14 15:42:54,32.8752,13.1875,71.24,38,64,1.83
99,Nanning,CN,2023-03-14 15:44:56,22.8167,108.3167,66.65,76,0,8.05
100,Obo,CF,2023-03-14 15:44:57,5.3998,26.4869,74.77,77,98,2.42
101,Klyuchi,RU,2023-03-14 15:44:57,52.2667,79.1667,23.38,94,6,6.71
102,Elliot Lake,CA,2023-03-14 15:41:57,46.3834,-82.6331,20.46,49,7,11.16
103,Mahibadhoo,MV,2023-03-14 15:44:57,3.7833,72.9667,82.06,78,53,14.38
104,Bredasdorp,ZA,2023-03-14 15:44:58,-34.5322,20.0403,73.98,78,6,12.26
105,Koson,UZ,2023-03-14 15:44:58,39.0375,65.585,68.32,32,100,6.71
106,Provideniya,RU,2023-03-14 15:44:58,64.3833,-173.3,-5.93,87,83,10.18
107,Vestmannaeyjar,IS,2023-03-14 15:44:58,63.4427,-20.2734,25.79,42,0,26.46
108,Saint-Philippe,RE,2023-03-14 15:44:59,-21.3585,55.7679,78.39,77,63,13.51
109,Galesong,ID,2023-03-14 15:44:59,-5.3166,119.3661,77.02,92,100,8.25
110,Thompson,CA,2023-03-14 15:44:59,55.7435,-97.8558,3.36,78,100,11.5
111,Kloulklubed,PW,2023-03-14 15:45:00,7.0419,134.2556,73.9,71,82,6.8
112,Mount Isa,AU,2023-03-14 15:45:00,-20.7333,139.5,64.17,94,0,3.44
113,Kazanskaya,RU,2023-03-14 15:45:01,45.4106,40.4361,45.97,62,100,18.05
114,Shelburne,CA,2023-03-14 15:45:01,44.0787,-80.2041,21.9,83,100,18.61
115,Leningradskiy,RU,2023-03-14 15:45:02,69.3833,178.4167,-19.16,97,43,6.2
116,Wabana,CA,2023-03-14 15:45:03,47.6332,-52.9481,35.19,74,75,13.8
117,Srednekolymsk,RU,2023-03-14 15:45:03,67.45,153.6833,0.03,90,100,3.11
118,Magan,ES,2023-03-14 15:45:04,39.9683,-3.931,65.89,34,22,9.17
119,Tezu,IN,2023-03-14 15:45:05,27.9167,96.1667,73.76,30,32,5.37
120,Mahebourg,MU,2023-03-14 15:45:05,-20.4081,57.7,79.25,69,75,10.36
121,Ambatondrazaka,MG,2023-03-14 15:45:06,-17.8333,48.4167,66.6,92,88,5.57
122,Tatvan,TR,2023-03-14 15:45:07,38.5067,42.2817,43.0,80,100,4.47
123,Kostino,RU,2023-03-14 15:45:11,58.9097,53.2691,24.46,88,98,11.14
124,San Jose,US,2023-03-14 15:40:56,37.3394,-121.895,57.85,88,100,28.77
125,Ahipara,NZ,2023-03-14 15:45:12,-35.1667,173.1667,57.52,77,100,3.74
126,Grindavik,IS,2023-03-14 15:45:13,63.8424,-22.4338,25.27,58,75,18.41
127,Olafsvik,IS,2023-03-14 15:45:13,64.8945,-23.7142,22.62,59,100,23.96
128,Mar Del Plata,AR,2023-03-14 15:45:15,-38.0023,-57.5575,78.82,95,75,13.8
129,Asau,RO,2023-03-14 15:45:15,46.4333,26.4,52.72,44,99,3.51
130,Moberly,US,2023-03-14 15:45:16,39.4184,-92.4382,31.42,64,40,0.0
131,Tuatapere,NZ,2023-03-14 15:45:17,-46.1333,167.6833,52.75,91,95,2.42
